restaurant_name,category,pricing_for_2,locality,dining_rating,dining_review_count,delivery_rating,delivery_rating_count,website,address,phone_no,latitude,longitude,known_for2,known_for22
Panditji (Sadar Bazar Wale),North Indian,150,"rohini, new delhi",4.1,372,4.1,9185,https://www.zomato.com/ncr/panditji-sadar-bazar-wale-rohini-new-delhi,"D14/215, Sector 3, Rohini, New Delhi",9.11146E+11,28.70626033,77.11096007,"chocolate truffle cake, tiramisu, hot chocolate, pastries, cakes, sandwiches","coffee date, portion size, seating, flavour, ambiance, prices"
La Seine - The Chocolate Emporium,"Bakery, Fast Food, Desserts, Beverages",500,"green park, new delhi",4.1,211,4.3,1353,https://www.zomato.com/ncr/la-seine-the-chocolate-emporium-green-park-new-delhi,"G 54, Main Market, Green Park, New Delhi",9.11142E+11,28.55649103,77.20258936,"sophisticated, live music, beautiful place, server, theme, great ambiance",not specified
Kebabs & Kurries - WelcomHotel Dwarka,"North Indian, Mughlai, Desserts",3200,"welcomhotel dwarka, sector 10, dwarka, new delhi",4.1,334,0.0,3,https://www.zomato.com/ncr/kebabs-kurries-welcomhotel-dwarka-sector-10-dwarka-new-delhi,"Welcom Hotel, Plot 3, Sector 10, Dwarka, New Delhi",9.188E+11,28.57953223,77.05605827,"mocha frappe, cappuccino, hot chocolate, salad, coffee, pasta","theme, vibe, cafe, decor, perfect place, awesome food"
Brick N Bean Cafe,"Italian, Continental, Fast Food, Beverages",1000,"sector 50, gurgaon",4.1,191,4.1,97,https://www.zomato.com/ncr/brick-n-bean-cafe-sector-50,"34-35, Ground Floor, Nirvana Courtyard, Nirvana Country, Sector 50, Gurgaon",9.18962E+11,28.41365696,77.06571858,"chinese, asian, continental, north indian, beverages",not specified
New Gole Hatti,Street Food,150,"west patel nagar, new delhi",4.1,232,4.1,637,https://www.zomato.com/ncr/new-gole-hatti-west-patel-nagar-new-delhi,"2698/2, Main Road, Opposite Metro Pillar 208, West Patel Nagar, New Delhi",9.11126E+11,28.64805475,77.16424819,"chicken afghani, drums of heaven, beers, shahi paneer, drink, soup","cool environment, live singing, happy hour, new experience, live band, good hospitality"
Aroma Rest O Bar,"North Indian, Mughlai, Chinese",800,"karkardooma, new delhi",4.1,335,0.0,13,https://www.zomato.com/ncr/aroma-rest-o-bar-karkardooma-new-delhi,"18, Ashish Corporate Tower, Karkardooma Community Centre, Karkardooma, New Delhi",9.17066E+11,28.64836634,77.30213653,"banana pudding, chocolate muffin, walnut pie, eclair, dry cake, yummy cake","reasonable rates, proper packaging, perfect presentation, cafe, hygiene, cute packaging"
Giruz,"Cafe, Sandwich, Desserts, Burger, Pizza, Fast Food, Beverages",700,"baani square, sector 50, gurgaon",4.1,270,3.9,938,https://www.zomato.com/ncr/giruz-sector-50,"F35 & 36, 1st Floor, Baani Square, Sector 50, Gurgaon",9.19311E+11,28.42553641,77.05762703,"tandoori chicken wings, peri peri fries, brownie, momos, desserts, shakes","ambience was super cool, variety of pizza, weekend brunch, lights, good music, elaborate menu"
Big Bang City,"Italian, North Indian, Mughlai, Modern Indian",2000,"janpath, new delhi",4.1,132,0.0,0,https://www.zomato.com/ncr/big-bang-city-janpath-new-delhi,"76, 2nd Floor, Janpath Road, Janpath, New Delhi",9.19355E+11,28.62836348,77.21975148,"good quantity, portion size, great food, great portions, worth the money, price",not specified
Noodle Bowl,"Thai, Chinese, Tibetan, Japanese",800,"sector 6, dwarka, new delhi",4.1,360,4.0,8506,https://www.zomato.com/ncr/noodle-bowl-sector-6-dwarka-new-delhi,"Shop 9, Ground Floor, LSC, Phase 1, Sector 6, Dwarka, New Delhi",9.19541E+11,28.595159,77.065041,"peshawari chicken, panneer butter masala, chilli paneer, paneer lababdar, honey chilli potato, tandoori chicken","quality of food, great ambiance, polite staff, amazing service, best food, food taste"
Shibiya Restaurant,"North Indian, Chinese, Mughlai",600,"sector 43, faridabad",4.1,485,3.9,8386,https://www.zomato.com/ncr/shibiya-restaurant-1-sector-43-faridabad,"SurajKund-Badhkal Road, Near Manav Rachna University, Sector 43, Faridabad",9.19954E+11,28.45139667,77.28305295,"chicken pesto sandwich, mushroom quiche, blueberry cheesecake, cookies, chocolate truffle cake, tiramisu","reasonable rates, combos, owner, hospitality, decor, flavour"
